Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
Dance_and_Music,Terukkuttu,northern Tamil_Nadu,Tamil_Nadu,"performances center around the enactment of Mahabharata story, with emphasis on the role of Draupadi.","is a form of Koothu, an entertainment, a ritual, and a medium of social instruction,[2] originated from the early Tamilakam.",,,"performances center around the enactment of Mahabharata story, with emphasis on the role of Draupadi.",,https://en.wikipedia.org/wiki/Terukkuttu,,,,,,,,,,,,,,,,,
Rituals_and_Ceremonies,Kavadi Attam,"Thaipusam festival, notably in Palani",Tamil_Nadu,"A ceremonial sacrifice and offering practiced by devotees during the worship of Murugan, the Hindu god of war. ","The Kavadi (""burden"") itself is a physical burden, the bearing of which is used by the devotee to implore Murugan for assistance, ",Devotees process and dance along a pilgrimage route while bearingÂ theseÂ burdens.,"usually on behalf of a loved one who is in need of healing, or as a means of balancing a spiritual debt.","A ceremonial sacrifice and offering practiced by devotees during the worship of Murugan, the Hindu god of war. The Kavadi (""burden"") itself is a physical burden, the bearing of which is used by the devotee to implore Murugan for assistance, usually on behalf of a loved one who is in need of healing, or as a means of balancing a spiritual debt. Devotees process and dance along a pilgrimage route while bearingÂ theseÂ burdens.",,https://en.wikipedia.org/wiki/Kavadi_Aattam,,,,,,,,,,,,,,,,,
Dance_and_Music,Kummi,Rural Tamil_Nadu,Tamil_Nadu,A folk dance mostly by South Indian women in circle. Dancing may be different. ,"In some places, it is very simple, with rhythmic clapping or beating of the drums. In other places dancers imitate various harvesting activities.",,,"A folk dance mostly by South Indian women in circle. Dancing may be different. In some places, it is very simple, with rhythmic clapping or beating of the drums. In other places dancers imitate various harvesting activities.",,https://en.wikipedia.org/wiki/Kummi,,,,,,,,,,,,,,,,,
History,Tamil palm-leaf manuscripts,libraries and temples across Tamil_Nadu,Tamil_Nadu,"Manuscripts made out of dried palm leaves,used as writing materials in the Indian subcontinent and in Southeast Asia dating back to the 5th century BCE.","Their use began in South Asia and spread to other regions, as texts on dried and smoke-treated palm leaves of the Palmyra or talipot palm",Their use continued until the 19th century when printing presses replaced hand-written manuscripts.,.One of the oldest surviving palm leaf manuscripts of a complete treatise is a Sanskrit Shaivism text from theÂ 9thÂ century.,"Manuscripts made out of dried palm leaves,used as writing materials in the Indian subcontinent and in Southeast Asia dating back to the 5th century BCE.Their use began in South Asia and spread to other regions, as texts on dried and smoke-treated palm leaves of the Palmyra or talipot palm.Their use continued until the 19th century when printing presses replaced hand-written manuscripts.One of the oldest surviving palm leaf manuscripts of a complete treatise is a Sanskrit Shaivism text from theÂ 9thÂ century.",,https://en.wikipedia.org/wiki/Palm-leaf_manuscript,,,,,,,,,,,,,,,,,
Cuisine,Chettinad cuisine,"Chettinad region, Sivaganga district",Tamil_Nadu,A cuisine that uses a variety of spices and the dishes are made with fresh ground masalas. ,"Chettiars also use a variety of sun-dried meats and salted vegetables, reflecting the dry environmentÂ ofÂ theÂ region.",,,"A cuisine that uses a variety of spices and the dishes are made with fresh ground masalas. Chettiars also use a variety of sun-dried meats and salted vegetables, reflecting the dry environmentÂ ofÂ theÂ region.",,https://en.wikipedia.org/wiki/Chettinad_cuisine,,,,,,,,,,,,,,,,,
Cuisine,Coconut-based dishes,Coastal regions like Kanyakumari and Chennai,Tamil_Nadu,"Use coconut as a primary ingredient,refer to the entire coconut palm or the seed, or the fruit, which, botanically, is a drupe,Â notÂ aÂ nut.","Some of them are Almond Joy – Candy bar – a candy
Anzac biscuit – Sweet oat biscuit
Bánh bò – Vietnamese ric flour-based sponge cake
Baye baye – Filipino rice dish",,,"Use coconut as a primary ingredient,refer to the entire coconut palm or the seed, or the fruit, which, botanically, is a drupe,Â notÂ aÂ nut.",,https://en.wikipedia.org/wiki/List_of_coconut_dishes,,,,,,,,,,,,,,,,,
Costume,Kanchipuram Silk Sarees,Kanchipuram,Tamil_Nadu,"The saris are woven from pure mulberry silk thread, recognized as a Geographical indication by the Government of India in 2005â€“2006.As of 2008,","an estimated 5,000 families were involved in sari production. There are 25 silk and cotton yarn industries and 60 dyeing unitsÂ inÂ theÂ region.",,,"The saris are woven from pure mulberry silk thread, recognized as a Geographical indication by the Government of India in 2005â€“2006.As of 2008, an estimated 5,000 families were involved in sari production. There are 25 silk and cotton yarn industries and 60 dyeing unitsÂ inÂ theÂ region.",,https://en.wikipedia.org/wiki/Kanchipuram_silk_sari,,,,,,,,,,,,,,,,,
Costume,Madurai Sungudi Sarees,Madurai,Tamil_Nadu,"A design which is an exclusive textile product traditionally produced using tie and dye (using natural dyes) method by the Saurashtrians,  The product has been given protection under the GI registrationÂ act.","under the patronage of King Thirumalai Naicker in the 17th century.The fabric's traditional popular use is as a saree,the fabric is now also used to make shirts, salwars, shawls, handbags, bed sheets and pillow cases.",,,"A design which is an exclusive textile product traditionally produced using tie and dye (using natural dyes) method by the Saurashtrians, under the patronage of King Thirumalai Naicker in the 17th century.The fabric's traditional popular use is as a saree,the fabric is now also used to make shirts, salwars, shawls, handbags, bed sheets and pillow cases. The product has been given protection under the GI registrationÂ act.",,https://en.wikipedia.org/wiki/Madurai_Sungudi,,,,,,,,,,,,,,,,,
Costume,Thirubuvanam Silk Sarees,Thirubuvanam,Tamil_Nadu,"A silk saris woven was declared as a Geographical indication in 2018â€“19,Saris measure about 12 ft (3.7 m) in length and 4 ft (1.2 m) in breadth, weighing about 400 g (14 oz) without the zari.",The saris are known for its extensive border and pallu designs with extensive zari work and higherÂ threadÂ count.,,,"A silk saris woven was declared as a Geographical indication in 2018â€“19,Saris measure about 12 ft (3.7 m) in length and 4 ft (1.2 m) in breadth, weighing about 400 g (14 oz) without the zari.The saris are known for its extensive border and pallu designs with extensive zari work and higherÂ threadÂ count.",,https://en.wikipedia.org/wiki/Thirubuvanam_Silk_Sarees?utm_source=chatgpt.com,,,,,,,,,,,,,,,,,
Festival,Chithirai Festival,Madurai,Tamil_Nadu,"An annual celebration  during the month of April. The festival, celebrated during the month of Chithirai, is associated with the Meenakshi Temple,","dedicated to the goddess Meenakshi, a form of Parvati and her consort Sundareshwar, a form of Shiva.It lastsÂ forÂ oneÂ month.",,,"An annual celebration  during the month of April. The festival, celebrated during the month of Chithirai, is associated with the Meenakshi Temple, dedicated to the goddess Meenakshi, a form of Parvati and her consort Sundareshwar, a form of Shiva.It lastsÂ forÂ oneÂ month.",,https://utsav.gov.in/view-event/chithirai-festival,,,,,,,,,,,,,,,,,
Festival,Thaipusam kavadi,Murugan temples across Tamil_Nadu,Tamil_Nadu,A festival celebrated on the first full moon day of Thai coinciding with Pusam star. The festival is celebrated to commemorate the victory of Hindu god over the demon,".The festival includes ritualistic practices of Kavadi Aattam, a ceremonial act of sacrifice carrying a physical burden as a means of balancing aÂ spiritualÂ debt.",,,"A festival celebrated on the first full moon day of Thai coinciding with Pusam star. The festival is celebrated to commemorate the victory of Hindu god over the demon.The festival includes ritualistic practices of Kavadi Aattam, a ceremonial act of sacrifice carrying a physical burden as a means of balancing aÂ spiritualÂ debt.",,https://en.wikipedia.org/wiki/Thaipusam,,,,,,,,,,,,,,,,,
Festival,Natyanjali Dance Festival,Chidambaram,Tamil_Nadu,"An annual dance festival commemorating Hindu deity Shiva,originated around 1981, and started off as a relatively obscure event.",It is currently organized by collaborative efforts of the DepartmentÂ ofÂ Tourism.,,,"An annual dance festival commemorating Hindu deity Shiva,originated around 1981, and started off as a relatively obscure event. It is currently organized by collaborative efforts of the DepartmentÂ ofÂ Tourism.",,"https://en.wikipedia.org/wiki/Natyanjali#:~:text=Natyanjali%20is%20an%20annual%20dance,Nadu%20and%20the%20Natyanjali%20Trust.",,,,,,,,,,,,,,,,,
Festival,Aadi Perukku,Riverbanks across Tamil_Nadu,Tamil_Nadu,"A cultural festival celebrated exclusively among populations from Southern India, on the 18th day of the Tamil month of Adi. ",The festival pays tribute to water's life-sustaining properties. For the blessing of mankind with peace in the form of Amman deities are organized to shower Nature's bountiful grace onÂ humanÂ beings.,,,"A cultural festival celebrated exclusively among populations from Southern India, on the 18th day of the Tamil month of Adi. The festival pays tribute to water's life-sustaining properties. For the blessing of mankind with peace, prosperity and happiness, nature worship in the form of Amman deities are organized to shower Nature's bountiful grace onÂ humanÂ beings.",,https://en.wikipedia.org/wiki/Aadi_Perukku,,,,,,,,,,,,,,,,,
Festival,Panguni Uthiram,Temples across Tami_Nadu,Tamil_Nadu,"It is marked on the purnima (full moon) of the month of Panguni (14 March - 13 April), falls on the day the moon transits the nakshatram (asterism) of Uttiram (Uttara Phalguni) in the twelfth month Panguni of the Tamil calendar.",This coincides with the Hindu calendar month of Phalguna/Chaitra. Panguni is also the last month of the Solar Tamil Calendar year after which the next New TamilÂ YearÂ begins.,,,"It is marked on the purnima (full moon) of the month of Panguni (14 March - 13 April), falls on the day the moon transits the nakshatram (asterism) of Uttiram (Uttara Phalguni) in the twelfth month Panguni of the Tamil calendar.This coincides with the Hindu calendar month of Phalguna/Chaitra. Panguni is also the last month of the Solar Tamil Calendar year after which the next New TamilÂ YearÂ begins.",,https://en.wikipedia.org/wiki/Panguni_Uthiram#:~:text=Panguni%20Uthiram%20(Tamil:%20%E0%AE%AA%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%A9%E0%AE%BF,,,,,,,,,,,,,,,,,
Festival,Mahamaham festival,Kumbakonam,Tamil_Nadu,A Hindu festival celebrated every 12 years in the Mahamaham tank located in the south of India. ,"On the day of the festival, the river goddesses and Shiva gather here to rejuvenate their waters, according to a legend in theÂ PeriyaÂ Purana.","This 20-acre square tank surrounded by Shiva mandapams is believed by Tamil Hindus to be ancient, and the holy confluence of nine Indian river goddesses: Ganga, Yamuna, Sarasvati, Narmada, Godavari, Krishna, Tungabhadra, Kaveri, and Sarayu. ",,"A Hindu festival celebrated every 12 years in the Mahamaham tank located in the south of India. This 20-acre square tank surrounded by Shiva mandapams is believed by Tamil Hindus to be ancient, and the holy confluence of nine Indian river goddesses: Ganga, Yamuna, Sarasvati, Narmada, Godavari, Krishna, Tungabhadra, Kaveri, and Sarayu. On the day of the festival, the river goddesses and Shiva gather here to rejuvenate their waters, according to a legend in theÂ PeriyaÂ Purana.",,https://en.wikipedia.org/wiki/Beating_retreat,,,,,,,,,,,,,,,,,
History,Great Living Chola Temples,Darasuram,Tamil_Nadu,A UNESCO World Heritage site consisting of three magnificent 11th-century temples built by Chola kings.,"The temple at Thanjavur was added in the list in 1987, while the other two temples were added in 2004.",,,A UNESCO World Heritage site consisting of three magnificent 11th-century temples built by Chola kings.,,https://en.wikipedia.org/wiki/Great_Living_Chola_Temples,,,,,,,,,,,,,,,,,
Tourism,Nilgiri Hills,Nilgiris district,Tamil_Nadu,"A scenic hill range known for its tea plantations, biodiversity, and cool climate.",They are located at the trijunction of the three states and connect the Western Ghats to the Eastern Ghats. ,,,"A scenic hill range known for its tea plantations, biodiversity, and cool climate.",,https://en.wikipedia.org/wiki/Nilgiris_district,,,,,,,,,,,,,,,,,
Religion,Mahabalipuram temples,Mahabalipuram,Tamil_Nadu,A collection of 7th- and 8th-century UNESCO-listed rock-cut temples famous for intricate sculptures.,It has been open to tourists since 2011. It was closed in 2001 following a perceived threat from the Liberation Tigers of Tamil Eelam.,,,A collection of 7th- and 8th-century UNESCO-listed rock-cut temples famous for intricate sculptures.,,https://en.wikipedia.org/wiki/Group_of_Monuments_at_Mahabalipuram,,,,,,,,,,,,,,,,,
Religion,Ramanathaswamy Temple,Rameshwaram,Tamil_Nadu,"A famous Hindu pilgrimage temple on Rameshwaram island, known for its long corridors and sacred tanks.","According to tradition, the lingam (an aniconic form of Shiva) of the  Temple was established and worshipped by Rama before he crossed the bridge called Rama Setu to the island kingdom identified with Sri Lanka. ",,,"A famous Hindu pilgrimage temple on Rameshwaram island, known for its long corridors and sacred tanks.",,"https://en.wikipedia.org/wiki/Ramanathaswamy_Temple#:~:text=Their%20height%20is%20about%2030,Temple%20was%20a%20thatched%20shed.",,,,,,,,,,,,,,,,,
Tourism,Kodaikanal,Dindigul district,Tamil_Nadu,"A municipality and hill station known for its lakes, waterfalls, and pleasant climate.",was established in 1845 to serve as a refuge from the high temperatures and tropical diseases during the summer in the plains.,,,"A municipality and hill station known for its lakes, waterfalls, and pleasant climate.",,https://en.wikipedia.org/wiki/Kodaikanal,,,,,,,,,,,,,,,,,
Religion,Meenakshi Amman Temple,Madurai,Tamil_Nadu,"Also known as Arulmigu Meenakshi Amman Thirukkovil, a historic and sprawling Hindu temple complex dedicated to the Goddess Meenakshi, ",located on the southern bank of the Vaigai River. Renowned for its architecture.,,,"Also known as Arulmigu Meenakshi Amman Thirukkovil, a historic and sprawling Hindu temple complex dedicated to the Goddess Meenakshi, located on the southern bank of the Vaigai River. Renowned for its architecture.",,https://en.wikipedia.org/wiki/Meenakshi_Temple,,,,,,,,,,,,,,,,,
Religion,Brihadisvara Temple,Thanjavur district,Tamil_Nadu,"An iconic 11th-century Chola temple and UNESCO World Heritage site, famous for its grand architecture.","It is also called Dakshina Meru (Meru of the South), Built by Chola emperor Rajaraja I between 1003 and 1010 CE,","the temple is a part of the UNESCO World Heritage Site known as the ""Great Living Chola Temples""",,"An iconic 11th-century Chola temple and UNESCO World Heritage site, famous for its grand architecture.",,https://en.wikipedia.org/wiki/Brihadisvara_Temple,,,,,,,,,,,,,,,,,
Religion,Nataraja Temple,Chidambaram,Tamil_Nadu,A temple dedicated to Lord Shiva as Nataraja,notable for its unique architecture and dance symbolism,,,"A temple dedicated to Lord Shiva as Nataraja, notable for its unique architecture and dance symbolism.",,"https://en.wikipedia.org/wiki/Nataraja_Temple,_Chidambaram#:~:text=The%20Nataraja%20temple%20in%20Chidambaram,140%20mi)%20south%20of%20Chennai.",,,,,,,,,,,,,,,,,
Personalities,Sushma Swaraj,Ambala,Haryana,A prominent Indian politician and former External,Affairs Minister known for her eloquence and diplomacy,,,A prominent Indian politician and former External Affairs Minister known for her eloquence and diplomacy.,,https://en.wikipedia.org/wiki/Sushma_Swaraj,,,,,,,,,,,,,,,,,
History,Rakhigarhi,Rakhi Garhi village,Haryana,One of the largest and oldest,Indus Valley Civilization archaeological sites in India,,,One of the largest and oldest Indus Valley Civilization archaeological sites in India.,,https://en.wikipedia.org/wiki/Rakhigarhi,,,,,,,,,,,,,,,,,
History,Tosham Rock,Bhiwani District,Haryana,An ancient geological and archaeological site,known for rock inscriptions and temples,,,An ancient geological and archaeological site known for rock inscriptions and temples.,,https://en.wikipedia.org/wiki/Tosham_rock_inscription,,,,,,,,,,,,,,,,,
History,Raja Harsh Ka Tila,Thanesar,Haryana,"An archaeological mound revealing layers from the Maurya, Gupta",and later periods near Kurukshetra,,,"An archaeological mound revealing layers from the Maurya, Gupta, and later periods near Kurukshetra.",,https://en.wikipedia.org/wiki/Harsh_Ka_Tila,,,,,,,,,,,,,,,,,
Dance_and_Music,Folk theatre in haryana,Rural Haryana,Haryana,"Traditional rural performing arts involving music, dance, and storytelling",integral to HaryanaÃ¢â‚¬â„¢s culture,,,"Traditional rural performing arts involving music, dance, and storytelling, integral to HaryanaÃ¢â‚¬â„¢s culture.",,"https://artandculturalaffairshry.gov.in/theatre/#:~:text=The%20origin%20of%20Swang%20theatre,Shakespeare%20or%20Kalidasa%20of%20Haryana.",,,,,,,,,,,,,,,,,
History,Mahabharata in haryana,Kurukshetra,Haryana,The legendary battlefield of the Mahabharata epic,a major pilgrimage and historical site,,,"The legendary battlefield of the Mahabharata epic, a major pilgrimage and historical site.",,"https://haryanacmoffice.gov.in/about-haryana#:~:text=During%20the%20days%20of%20the,established%20their%20sway%20over%20Haryana.",,,,,,,,,,,,,,,,,
Personalities,Harshvardhan,Thanesar,Haryana,An ancient Indian emperor known for uniting,northern India and promoting arts and culture,,,An ancient Indian emperor known for uniting northern India and promoting arts and culture,,"https://en.wikipedia.org/wiki/Harsha#:~:text=Harshavardhana%20(Sanskrit:%20%E0%A4%B9%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%A7%E0%A4%A8;%204,vast%20realm%20in%20northern%20India.",,,,,,,,,,,,,,,,,
History,Harappan culture,Rakhigarhi in Hisar district,Haryana,The ancient Bronze Age civilization evident,through archaeological finds at Rakhigarhi site,,,The ancient Bronze Age civilization evident through archaeological finds at Rakhigarhi site.,,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation,,,,,,,,,,,,,,,,,
History,Archaeological artifacts,Rakhigarhi and Bhirrana,Haryana,Important artifacts from Indus Valley sites,revealing early urban life and culture,,,Important artifacts from Indus Valley sites revealing early urban life and culture.,,https://en.wikipedia.org/wiki/Archaeological_artifacts,,,,,,,,,,,,,,,,,
Personalities,Ved Vyas,Bilaspur and Kapal Mochan in Yamunanagar district,Haryana,The legendary sage and author of the Mahabharata epic,associated with sacred sites in Haryana,,,"The legendary sage and author of the Mahabharata epic, associated with sacred sites in Haryana.",,https://en.wikipedia.org/wiki/Vyasa,,,,,,,,,,,,,,,,,
History,Indus Valley Civilization,"Haryana, including Rakhigarhi",Haryana,One of the world's earliest urban,civilizations with key sites located in Haryana,,,One of the world's earliest urban civilizations with key sites located in Haryana.,,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation,,,,,,,,,,,,,,,,,
Religion,Pilgrimage in haryana,"Kurukshetra, Adi Badri, and Kapal Mochan",Haryana,Prominent Hindu pilgrimage centers linked,to Mahabharata and ancient religious traditions,,,Prominent Hindu pilgrimage centers linked to Mahabharata and ancient religious traditions.,,https://haryanatourism.gov.in/explores/pilgrim-tourism/,,,,,,,,,,,,,,,,,
Costume,Lacha Punjabi,Majha and Malwa regions,Punjab,A traditional Punjabi garment characterized by its flowing,gathered design worn by women,,,"A traditional Punjabi garment characterized by its flowing, gathered design worn by women.",,"https://en.wikipedia.org/wiki/Punjabi_clothing#:~:text=The%20Punjabi%20suit%20is%20popular,Main%20article:%20Kurti%20top",,,,,,,,,,,,,,,,,
Cuisine,Kachri,rural Haryana,Haryana,A wild cucumber used as a traditional,ingredient in Haryana cuisine for its tangy flavor,,,A wild cucumber used as a traditional ingredient in Haryana cuisine for its tangy flavor.,,https://en.wikipedia.org/wiki/Cuisine_of_Haryana,,,,,,,,,,,,,,,,,
Dance_and_Music,Fagun Nritya,Dhantewada district,Haryana,A seasonal folk dance performed during the spring festival,symbolizing joy and renewal,,,"A seasonal folk dance performed during the spring festival, symbolizing joy and renewal.",,https://en.m.wikipedia.org/wiki/Phalguna,,,,,,,,,,,,,,,,,
Tourism,Yadavindra Gardens,"Pinjore, Panchkula district",Haryana,A historic Mughal-style terraced garden known,for its floral diversity and seasonal festivals,,,A historic Mughal-style terraced garden known for its floral diversity and seasonal festivals.,,https://en.wikipedia.org/wiki/Yadavindra_Gardens,,,,,,,,,,,,,,,,,
Tourism,Badkhal Lake,Faridabad,Haryana,A man-made freshwater lake popular for picnics and natural surroundings,though currently shrinking,,,"A man-made freshwater lake popular for picnics and natural surroundings, though currently shrinking.",,https://en.wikipedia.org/wiki/Badkhal_Lake,,,,,,,,,,,,,,,,,
Tourism,Kalesar national park,Yamunanagar district,Haryana,"A protected forest reserve rich in biodiversity, home to elephants, leopards",and many bird species,,,"A protected forest reserve rich in biodiversity, home to elephants, leopards, and many bird species.",,https://en.wikipedia.org/wiki/Kalesar_National_Park,,,,,,,,,,,,,,,,,
Art,Villianur Terracotta Works,Villianur,Puducherry,A traditional craft of detailed terracotta,sculptures and pottery native to Villianur,,,A traditional craft of detailed terracotta sculptures and pottery native to Villianur.,,https://en.wikipedia.org/wiki/Villianur_Terracotta_Works,,,,,,,,,,,,,,,,,
History,Aayi Mandapam,Bharathi Park,Puducherry,A historic pavilion built by the French colonial ruler Aayi,located in the heart of Puducherry,,,"A historic pavilion built by the French colonial ruler Aayi, located in the heart of Puducherry.",,https://en.wikipedia.org/wiki/Aayi_Mandapam,,,,,,,,,,,,,,,,,
Religion,Meerapalli Mosque,Yanam Vengadasalam Pillai Street,Puducherry,One of the oldest mosques in Puducherry,reflecting Islamic architectural heritage,,,"One of the oldest mosques in Puducherry, reflecting Islamic architectural heritage",,https://en.wikipedia.org/wiki/Meerapalli,,,,,,,,,,,,,,,,,
Religion,St. Andrew's Church,Reddiarpalayam,Puducherry,A colonial-era Catholic church known for,its Gothic architecture and religious significance,,,A colonial-era Catholic church known for its Gothic architecture and religious significance.,,https://en.wikipedia.org/wiki/St._Andrew%27s_Church%2C_Puducherry,,,,,,,,,,,,,,,,,
Religion,Varadaraja Perumal Temple,Thirubuvanai Village,Puducherry,An ancient Hindu temple dedicated to Lord Vishnu,showcasing Dravidian temple architecture,,,"An ancient Hindu temple dedicated to Lord Vishnu, showcasing Dravidian temple architecture.",,https://en.wikipedia.org/wiki/Varadharajaperumal_temple%2C_Thirubuvanai,,,,,,,,,,,,,,,,,
History,Arikamedu,"Arikamedu, Ariyankuppam",Puducherry,An archaeological site of an ancient,Roman trading post with significant Indo-Roman artifacts,,,An archaeological site of an ancient Roman trading post with significant Indo-Roman artifacts.,,https://en.wikipedia.org/wiki/Arikamedu,,,,,,,,,,,,,,,,,
History,Fort Louis,Near Promenade Beach,Puducherry,A former French colonial fort that played a,key role in the townÃ¢â‚¬â„¢s defense and administration,,,A former French colonial fort that played a key role in the townÃ¢â‚¬â„¢s defense and administration.,,https://en.wikipedia.org/wiki/Fort_Louis_(Pondicherry),,,,,,,,,,,,,,,,,
Religion,Immaculate Conception Cathedral,"Mission Street, White Town",Puducherry,A prominent Roman Catholic cathedral built during the French colonial period.,,,,A prominent Roman Catholic cathedral built during the French colonial period.,,"https://en.wikipedia.org/wiki/Immaculate_Conception_Cathedral,_Pondicherry#:~:text=Immaculate%20Conception%20Cathedral%20(French%3A%20Cath%C3%A9drale,the%20Union%20territory%20of%20Puducherry.",,,,,,,,,,,,,,,,,
History,French India,"Puducherry, Karaikal, MahÃƒÂ©, Yanam, and Chandernagore",Puducherry,The collection of French colonial enclaves in India,reflecting centuries of French influence,,,"The collection of French colonial enclaves in India, reflecting centuries of French influence.",,https://en.wikipedia.org/wiki/French_India,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Veerampattinam kattumaram,Veerampattinam beach,Puducherry,Traditional fishing boats are unique,to PuducherryÃ¢â‚¬â„¢s coastal fishing communities,,,Traditional fishing boats are unique to PuducherryÃ¢â‚¬â„¢s coastal fishing communities.,,https://en.wikipedia.org/wiki/Veerampattinam,,,,,,,,,,,,,,,,,
Tourism,Bahour Lake,Bahour,Puducherry,The second largest lake in the Indian union territory of Puducherry,is recognised as one of the Important Bird Areas (IBAs) of Puducherry,,,The second largest lake in the Indian union territory of Puducherry is recognised as one of the Important Bird Areas (IBAs) of Puducherry.,,https://en.wikipedia.org/wiki/Bahour_Lake,,,,,,,,,,,,,,,,,
Religion,Our Lady of Angels,"Rue Dumas, White Town",Puducherry,A fourth-oldest church in Puducherry,a historic Catholic one known for its colonial-era architecture and spiritual heritage,,,"A fourth-oldest church in Puducherry, a historic Catholic one known for its colonial-era architecture and spiritual heritage.",,"https://en.wikipedia.org/wiki/Our_Lady_of_Angels_Church,_Puducherry",,,,,,,,,,,,,,,,,
Religion,Kameeswarar temple,Villianur,Puducherry,An ancient Hindu temple dedicated to the deity Shiva,known for its intricate stone carvings,,,"An ancient Hindu temple dedicated to the deity Shiva, known for its intricate stone carvings.",,https://en.wikipedia.org/wiki/Kameeswarar_temple,,,,,,,,,,,,,,,,,
Rituals_and_Ceremonies,Theyyam,Kannur and Kasaragod districts,Kerala,A ritual performance involving extended chanting of mantras and ceremonial preparations that typically span 8 to 10 hours,"combining dance, mime, and music, celebrated as a divine performance in temples",,,"A ritual performance involving extended chanting of mantras and ceremonial preparations that typically span 8 to 10 hours, combining dance, mime, and music, celebrated as a divine performance in temples.",,https://en.wikipedia.org/wiki/Theyyam,,,,,,,,,,,,,,,,,
Art,Tholpavakoothu (Leather Shadow Puppetry),"Palakkad, Thrissur, and Malappuram districts",Kerala,A traditional shadow puppetry using intricately,crafted leather puppets to narrate mythological stories,,,A traditional shadow puppetry using intricately crafted leather puppets to narrate mythological stories.,,https://en.wikipedia.org/wiki/Tholpavakoothu,,,,,,,,,,,,,,,,,
Dance_and_Music,Charadupinnikkali (String Dance),South Kerala,Kerala,A folk string dance performed by women,involving rhythmic movements and weaving of colorful threads,,,"A folk string dance performed by women, involving rhythmic movements and weaving of colorful threads.",,https://en.wikipedia.org/wiki/Charadupinnikkali,,,,,,,,,,,,,,,,,
Dance_and_Music,Nayadikali (Hunting Dance),Valluvanad region (Palakkad and Thrissur districts),Kerala,A traditional folk dance ahead of the Pooram festival at the Devi temples in the region,for the good and prosperity of the people and region,"mimicking hunting activities, is performed to celebrate community and nature",,"A traditional folk dance ahead of the Pooram festival at the Devi temples in the region, for the good and prosperity of the people and region, mimicking hunting activities, is performed to celebrate community and nature.",,https://en.wikipedia.org/wiki/Nayadikali,,,,,,,,,,,,,,,,,
Dance_and_Music,Ayyappan Thiyyattu,"Thrissur, Palakkad, and Malappuram districts",Kerala,"A ritualistic dance, usually performed in Bhadrakali temples","mostly in the Pathanamthitta, Alappuzha, Kottayam","and Ernakulam districts of south-central Kerala, is dedicated to Lord Ayyappa and involves storytelling through music and movements",,"A ritualistic dance, usually performed in Bhadrakali temples, mostly in the Pathanamthitta, Alappuzha, Kottayam, and Ernakulam districts of south-central Kerala, is dedicated to Lord Ayyappa and involves storytelling through music and movements.",,https://en.wikipedia.org/wiki/Theeyaattam,,,,,,,,,,,,,,,,,
Tourism,Muzhappilangad Beach,"Muzhappilangad, Kannur district",Kerala,The beach is located parallel to National Highway 66 (formerly National Highway 17).There is an unpaved road winding through coconut groves leading to the beach,The beach is about 3.8 km long and curvesÃ‚ inÃ‚ aÃ‚ wideÃ‚ area,,,The beach is located parallel to National Highway 66 (formerly National Highway 17).There is an unpaved road winding through coconut groves leading to the beach. The beach is about 3.8 km long and curvesÃ‚Â inÃ‚Â aÃ‚Â wideÃ‚Â area.,,https://en.wikipedia.org/wiki/Muzhappilangad_Beach,,,,,,,,,,,,,,,,,
Tourism,Bekal Fort,"Bekal, Kasaragod district",Kerala,The fort appears to emerge from the sea,"Almost three-quarters of its exterior is in contact with water.It was not an administrative centre and does not include any palaces or mansions.An important feature is the water-tank, the largest fort spreading over 40 acresÃ‚ (160,000Ã‚ m2)",,,"The fort appears to emerge from the sea. Almost three-quarters of its exterior is in contact with water.It was not an administrative centre and does not include any palaces or mansions.An important feature is the water-tank, the largest fort spreading over 40 acresÃ‚Â (160,000Ã‚Â m2).",,https://en.wikipedia.org/wiki/Bekal_Fort,,,,,,,,,,,,,,,,,
Dance_and_Music,Kathakali Dance,Kottarakkara,Kerala,"A traditional form of Indian Classical Dance, and one of the most complex forms of Indian theatre",It is a play of verses,These verses are called Kathakali literature or Attakatha. Mostly played in the courts of kings and templeÃ‚ festivals,,"A traditional form of Indian Classical Dance, and one of the most complex forms of Indian theatre. It is a play of verses. These verses are called Kathakali literature or Attakatha. Mostly played in the courts of kings and templeÃ‚Â festivals.",,https://en.wikipedia.org/wiki/Kathakali,,,,,,,,,,,,,,,,,
